ID,Name,Close,Ranged,Def,Mv,FA1,FA1Cost,FA2,FA2Cost,UA1,UA1Cost,UA2,UA2Cost,Egypt,Han,Roman,Merc,Nm,Em,Sm,Wm,Ns,Es,Ss,Ws,BaseColor,BaseType
1E01,	Hoplite with Javelins,	0.6, 0,   0.4, 4, Thrown Weapon, 0.20,,,  Battle Prowess, 1.2, Aggressive, 1,  75, 150, 188, 255,1,1,2,1,b,r,g,r,	white,	1U
1E02,	Charging Hoplite,		0.6, 0,   0.4, 4,		         ,   ,,,  Battle Prowess, 1.2, Aggressive, 1,  50, 100, 125, 150,1,1,2,1,r,r,g,r,	white,	1U
1E03,	Cursed Swordsman,		1,   0,   0.2, 3, Concentration, 0.14,,,  Regeneration,   1.2, Aggressive, 1,  65, 130, 130, 195,1,2,3,2,r,g,g,g,	white,	1U
1E04,	Cursed Spearman,		1,   0,   0,   3, Spearmen,      0.20,,,  Regeneration,   1.2, Aggressive, 1,  59, 118, 118, 177,1,2,3,2,r,g,g,g,	white,	1U
1E05,	Egyptian Archer,		0.2, 0.7, 0.2, 4, Precision,     0.10,,,              ,      ,           ,  ,  52, 104, 104, 156,1,1,2,1,b,g,g,g,	white,	1U
1E06,	Egyptian Fire Archer,	0,   0.7, 0.3, 3, Fire Arrows,   0.2, Hail of Arrows, 0.1, ,,,,                59, 118, 118, 177,1,1,2,1,b,g,g,g,	white,	1U
1E07,	Centaur Charger,		1.6, 0,   0.8, 8, Specialized,   0.2, ,,  Battle Prowess, 2.5, Aggressive, 2, 163, 326, 408, 489,1,2,3,2,r,r,g,r,	white,	1U
1E10,	Cleopatra VII,			0,   0,   2,   4, Harsh Mistress,1, Death Touch, 1, Calculating, 12, ,,       617,  --,  --,  --,1,1,2,1,r,r,g,r,	gold,	1U
1E11,	Decidius Saxa,			2,   0,   2,   4, Command Position, 1, ,, Hustle, 8, Aggressive, 1,           474,  --,  --,  --,1,1,2,1,r,r,r,r,	gold,	1U
1E12,	Amenhotep III,			1,   0,   1.5, 4, Lord of the Dead, 1, ,, Resentful, 8, Aggressive, 1,        278,  --,  --,  --,1,1,2,1,r,r,g,r,	gold,	1U
1E13,	Darius of Pontus,		2,   0,   1.5, 4, Hellenic Pride, 1, ,, Battle Prowess, 4, Aggressive, 2,     143, 429,  --,  --,1,1,2,1,r,r,g,r,	gold,	1U
1E14,	Achilles,				3,   0,   1.5, 8, Power at a Price, 1, ,, Battle Prowess, 8, Aggressive, 2,   453,1359,  --,1359,1,2,3,2,r,r,r,r,	gold,	2UPA
1E15,	Masika,					1,   0,   1,   4, Death Touch, 1, ,, Aggressive, 1, ,,                        205, 615, 615, 615,1,1,2,1,r,r,g,r,	gold,	1U
1E16,	Hand of Isis,			0,   0,   0.33,4, Death Touch, 1, Impede, 0.34, ,, ,,                         100, 200, 300, 300,1,1,2,1,r,g,g,g,	green,	1U
1E17,	Hand of Osiris,			0.5, 0,   0,   4, Necromancer, 1, ,, ,, ,,                                    129, 258, 323, 387,1,1,2,1,g,g,g,g,	green,	1U
1E18,	Anubian Guard,			1.8, 0,   1,   5, Fear, 0.34, ,, Brutal, 2, Aggressive, 2,                    175,  --,  --,  --,1,1,2,1,r,r,r,r,	green,	2ULB
1E19,	Sta,					1.4, 0,   0.3, 6, Poison, 0.2, ,, Beast, 2, Aggressive, 2,                    111, 111, 111, 111,1,2,2,2,g,g,g,g,	green,	2UPB
1E20,	Criosphinx,				1.6, 0,   0.3, 6, ,, ,, Beast, 2, Charger, 3,                                 115, 115, 115, 115,1,2,2,2,g,g,g,g,	white,	2UPA
1E21,	Protosphinx,			2,   0,   1,   6, Cunning, 1, ,, Aggressive, 4, ,,                            258, 516, 516, 516,1,2,2,2,r,r,g,r,	white,	3U2FP
1E22,	Cyclops,				2.2, 0,   0.8, 5, Carnivorous, 0.25, ,, Brutal, 2.5, Resentful, 2.5,          147, 221, 221, 221,1,1,2,1,r,g,g,g,	white,	2ULB
1E23,	Centaur Archer,			0.2, 1.4, 0.6, 7, Hail of Arrows, 0.2, ,, Battle Prowess, 2.5, ,,             224, 448, 560, 672,1,2,3,2,b,b,g,r,	white,	2UPA
1E24,	Lionrider of Bast,		2.25,0,   1,   7, ,, ,, Deadly, 4, Aggressive, 4,                             278, 558, 837, 837,1,1,2,1,r,r,g,r,	white,	3UAP
1E25,	Necrotic Warrior,		2.5, 0,   0.5, 6, Trample, 0.25, ,, Brutal, 4, ,,                             202, 606,  --, 606,1,1,2,1,r,r,g,r,	white,	3UL
1E26,	Beast Handler,			0.5, 0,   0.25,4, Concentration, 1, ,, Aggressive, 1, ,,                       88, 264, 264, 264,1,1,2,1,r,g,g,g,	red,	1U
1H01,	Charging Han Infantry,	0.8, 0,   0.3, 4, Xenophobic, 0.1, ,, Hustle, 1.2, Good Fortune, 1.2,         150,  50, 150,  --,1,1,2,1,r,r,g,r,	white,	1U
1H02,	Marching Han Infantry,	0.7, 0,   0.4, 4, Xenophobic, 0.1, ,, Good Fortune, 1.2, ,,                   132,  44, 132,  --,1,1,2,1,r,r,g,r,	white,	1U
1H03,	Han Sharpshooter,		0,   0.8, 0.4, 4, Precision, 0.17, ,, Good Fortune, 1.2, ,,                   210,  70, 210,  --,1,1,2,1,b,b,g,b,	white,	1U
1H04,	Han Artillerist,		0,   0.8, 0.3, 4, Hail of Arrows, 0.17, ,, Good Fortune, 1.2, ,,              219,  73, 219,  --,1,1,2,1,b,b,g,b,	white,	1U
1H05,	Terracotta Spearman A,	0.6, 0,   0.4, 4, Spearmen, 0.1, ,, Fragile, 3, ,,                             78,  26,  78,  --,1,1,2,1,r,r,g,r,	white,	1U
1H06,	Terracotta Spearman B,	0.6, 0,   0.4, 4, Spearmen, 0.1, ,, Fragile, 3, ,,                             78,  26,  78,  --,1,1,2,1,r,r,g,r,	white,	1U
1H07,	Han Mounted Archer,		0,   1.2, 0.4, 7, Precision, 0.25, ,, Good Fortune, 2.5, ,,                   579, 193, 579,  --,1,2,3,2,b,r,g,b,	white,	2UPA
1H08,	Han Cavalry,			1.8, 0,   0.8, 7, Xenophobic, 0.2, ,, Good Fortune, 2.5, ,,                   417, 139, 417,  --,1,2,3,2,r,r,g,r,	white,	2UPA
1H09,	Shoyosei,				1.6, 0,   1,   6, Trample, 0.25, Heavy Armor, 0.25, Deadly, 2.5, Good Fortune, 2.5, --, 161, --, --, 1,2,3,2,r,r,g,r,white, 2UPA
1H10,	Zhongli Quan,			2,   0,   1.5, 4, Call the Iron Rain, 1, ,, Deadly, 12, Calculating, 8,        --, 407,  --,  --,1,1,2,1,r,r,r,r,	gold,	1U
1H11,	Hundun Spirit,			2.5, 0,   1.2, 5, Spirit of Chaos, 1, Superior Reach, 1, ,, ,,                 --, 979,  --,  --,1,1,2,1,r,r,r,r,	gold,	4U
